Ref,Val,Package,PosX,PosY,Rot,Side
"K1_0","KEYSW","Choc_Mini_PG1232_Choc_Spacing",22.000000,-58.000000,0.000000,top
"K1_1","KEYSW","Choc_Mini_PG1232_Choc_Spacing",40.000000,-46.000000,0.000000,top
"K1_2","KEYSW","Choc_Mini_PG1232_Choc_Spacing",58.000000,-39.000000,0.000000,top
"K1_3","KEYSW","Choc_Mini_PG1232_Choc_Spacing",76.000000,-44.500000,0.000000,top
"K1_4","KEYSW","Choc_Mini_PG1232_Choc_Spacing",94.000000,-47.000000,0.000000,top
"K2_0","KEYSW","Choc_Mini_PG1232_Choc_Spacing",22.000000,-75.000000,0.000000,top
"K2_1","KEYSW","Choc_Mini_PG1232_Choc_Spacing",40.000000,-63.000000,0.000000,top
"K2_2","KEYSW","Choc_Mini_PG1232_Choc_Spacing",58.000000,-56.000000,0.000000,top
"K2_3","KEYSW","Choc_Mini_PG1232_Choc_Spacing",76.000000,-61.500000,0.000000,top
"K2_4","KEYSW","Choc_Mini_PG1232_Choc_Spacing",94.000000,-64.000000,0.000000,top
"K3_3","KEYSW","Choc_Mini_PG1232_Choc_Spacing",83.185000,-83.185000,-15.000000,top
"K3_4","KEYSW","Choc_Mini_PG1232_Choc_Spacing",101.677994,-89.921865,-25.000000,top
"Q1","PDTC123JT,215","SOT-23",45.000000,-80.000000,0.000000,top
"R1","5.1kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.147204,-54.811285,180.000000,top
"R2","5.1kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.585000,-59.055000,0.000000,top
"R3","100kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.189320,-55.726612,90.000000,top
"R4","100kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.585000,-80.645000,0.000000,top
"R5","100kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.500000,-75.250000,180.000000,top
"SW1","B3U-1000P","SW_SPST_B3U-1000P",36.195000,-79.375000,-90.000000,top
"U1","STM32F072CBT6","Dual_MCU_QFP_QFN_48_with_breakout_pins",60.500000,-76.500000,90.000000,top
"U3","MCP1700T-3302E/TT","SOT-23",104.775000,-57.785000,0.000000,top
"U4","SRV05-4","SOT-23-6",108.170001,-62.420003,0.000000,top
